Duty,L1,L2,L3,Vin,Vdc
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.117619,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.117619,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.098303,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.078987,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.059671,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.040356,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,27.02104,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,27.001724,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.982409,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.943775,
0,0.0,0.0,0.0,26.963091,
0,0.0,0.0,0.0,26.963091,
